Date,call_oi_wall,put_oi_wall,gamma_flip,cta_net_futures
2025-03-03,37000.0,37000.0,37000.0,1815.199999999998
2025-03-04,37000.0,37000.0,37000.0,1815.199999999998
2025-03-05,37000.0,37000.0,37000.0,1815.199999999998
2025-03-06,37000.0,37000.0,37000.0,1815.199999999998
2025-03-07,37000.0,37000.0,37000.0,-5162.9
2025-03-10,37000.0,37000.0,37000.0,-5162.9
2025-03-11,37000.0,37000.0,37000.0,-5162.9
2025-03-12,37000.0,37000.0,37000.0,-5162.9
2025-03-13,37000.0,37000.0,37000.0,-5162.9
2025-03-14,37000.0,37000.0,37000.0,1488.7000000000005
2025-03-17,37000.0,37000.0,37000.0,1488.7000000000005
2025-03-18,37000.0,37000.0,37000.0,1488.7000000000005
2025-03-19,37000.0,37000.0,37000.0,1488.7000000000005
2025-03-21,37625.0,37500.0,37562.5,5659.1
2025-03-24,37625.0,37500.0,37562.5,5659.1
2025-03-25,37625.0,37500.0,37562.5,5659.1
2025-03-26,37625.0,37500.0,37562.5,5659.1
2025-03-27,37625.0,37500.0,37562.5,5659.1
2025-03-28,37000.0,37000.0,37000.0,2287.9
2025-03-31,37000.0,37000.0,37000.0,2287.9
2025-04-01,37000.0,37000.0,37000.0,2287.9
2025-04-02,37000.0,37000.0,37000.0,2287.9
2025-04-03,37000.0,37000.0,37000.0,2287.9
2025-04-04,34000.0,34000.0,34000.0,-3729.7
2025-04-07,34000.0,34000.0,34000.0,-3729.7
2025-04-08,34000.0,34000.0,34000.0,-3729.7
2025-04-09,34000.0,34000.0,34000.0,-3729.7
2025-04-10,34000.0,34000.0,34000.0,-3729.7
2025-04-11,33500.0,33500.0,33500.0,-12294.5
2025-04-14,33500.0,33500.0,33500.0,-12294.5
2025-04-15,33500.0,33500.0,33500.0,-12294.5
2025-04-16,33500.0,33500.0,33500.0,-12294.5
2025-04-17,33500.0,33500.0,33500.0,-12294.5
2025-04-18,35000.0,35000.0,35000.0,-13830.6
2025-04-21,35000.0,35000.0,35000.0,-13830.6
2025-04-22,35000.0,35000.0,35000.0,-13830.6
2025-04-23,35000.0,35000.0,35000.0,-13830.6
2025-04-24,35000.0,35000.0,35000.0,-13830.6
2025-04-25,36000.0,36000.0,36000.0,-9414.4
2025-04-28,36000.0,36000.0,36000.0,-9414.4
2025-04-30,36000.0,36000.0,36000.0,-9414.4
2025-05-01,36000.0,36000.0,36000.0,-9414.4
2025-05-02,37000.0,37000.0,37000.0,-10093.2
2025-05-07,37000.0,37000.0,37000.0,-10093.2
2025-05-08,37000.0,37000.0,37000.0,-10093.2
2025-05-09,37500.0,37750.0,37625.0,-1807.1
2025-05-12,37500.0,37750.0,37625.0,-1807.1
2025-05-13,37500.0,37750.0,37625.0,-1807.1
2025-05-14,37500.0,37750.0,37625.0,-1807.1
2025-05-15,37500.0,37750.0,37625.0,-1807.1
2025-05-16,38000.0,37500.0,37750.0,9564.1
2025-05-19,38000.0,37500.0,37750.0,9564.1
2025-05-20,38000.0,37500.0,37750.0,9564.1
2025-05-21,38000.0,37500.0,37750.0,9564.1
2025-05-22,38000.0,37500.0,37750.0,9564.1
2025-05-23,37000.0,37000.0,37000.0,7768.6
2025-05-26,37000.0,37000.0,37000.0,7768.6
2025-05-27,37000.0,37000.0,37000.0,7768.6
2025-05-28,37000.0,37000.0,37000.0,7768.6
2025-05-29,37000.0,37000.0,37000.0,7768.6
2025-05-30,38000.0,38000.0,38000.0,11656.8
2025-06-02,38000.0,38000.0,38000.0,11656.8
2025-06-03,38000.0,38000.0,38000.0,11656.8
2025-06-04,38000.0,38000.0,38000.0,11656.8
2025-06-05,38000.0,38000.0,38000.0,11656.8
2025-06-06,38000.0,37500.0,37750.0,16798.0
2025-06-09,38000.0,37500.0,37750.0,16798.0
2025-06-10,38000.0,37500.0,37750.0,16798.0
2025-06-11,38000.0,37500.0,37750.0,16798.0
2025-06-12,38000.0,37500.0,37750.0,16798.0
2025-06-13,38000.0,38000.0,38000.0,16807.399999999998
2025-06-16,38000.0,38000.0,38000.0,16807.399999999998
2025-06-17,38000.0,38000.0,38000.0,16807.399999999998
2025-06-18,38000.0,38000.0,38000.0,16807.399999999998
2025-06-19,38000.0,38000.0,38000.0,16807.399999999998
2025-06-20,38500.0,38500.0,38500.0,18481.9
2025-06-23,38500.0,38500.0,38500.0,18481.9
2025-06-24,38500.0,38500.0,38500.0,18481.9
2025-06-25,38500.0,38500.0,38500.0,18481.9
2025-06-26,38500.0,38500.0,38500.0,18481.9
2025-06-27,40000.0,40000.0,40000.0,14639.2
2025-06-30,40000.0,40000.0,40000.0,14639.2
2025-07-01,40000.0,40000.0,40000.0,14639.2
2025-07-02,40000.0,40000.0,40000.0,14639.2
2025-07-03,40000.0,40000.0,40000.0,14639.2
2025-07-04,40000.0,40000.0,40000.0,18589.7
2025-07-07,40000.0,40000.0,40000.0,18589.7
2025-07-08,40000.0,40000.0,40000.0,18589.7
2025-07-09,40000.0,40000.0,40000.0,18589.7
2025-07-10,40000.0,40000.0,40000.0,18589.7
2025-07-11,39500.0,39500.0,39500.0,20304.6
2025-07-14,39500.0,39500.0,39500.0,20304.6
2025-07-15,39500.0,39500.0,39500.0,20304.6
2025-07-16,39500.0,39500.0,39500.0,20304.6
2025-07-17,39500.0,39500.0,39500.0,20304.6
2025-07-18,40000.0,39750.0,39875.0,23082.4
2025-07-22,40000.0,39750.0,39875.0,23082.4
2025-07-23,40000.0,39750.0,39875.0,23082.4
2025-07-24,40000.0,39750.0,39875.0,23082.4
2025-07-25,41500.0,41500.0,41500.0,27152.5
2025-07-28,41500.0,41500.0,41500.0,27152.5
2025-07-29,41500.0,41500.0,41500.0,27152.5
2025-07-30,41500.0,41500.0,41500.0,27152.5
2025-07-31,41500.0,41500.0,41500.0,27152.5
2025-08-01,41000.0,40500.0,40750.0,26162.0
2025-08-04,41000.0,40500.0,40750.0,26162.0
2025-08-05,41000.0,40500.0,40750.0,26162.0
2025-08-06,41000.0,40500.0,40750.0,26162.0
2025-08-07,41000.0,40500.0,40750.0,26162.0
2025-08-08,42000.0,42000.0,42000.0,18939.2
2025-08-12,42000.0,42000.0,42000.0,18939.2
2025-08-13,42000.0,42000.0,42000.0,18939.2
2025-08-14,42000.0,42000.0,42000.0,18939.2
2025-08-15,43500.0,43250.0,43375.0,23697.5
2025-08-18,43500.0,43250.0,43375.0,23697.5
2025-08-19,43500.0,43250.0,43375.0,23697.5
2025-08-20,43500.0,43250.0,43375.0,23697.5
2025-08-21,43500.0,43250.0,43375.0,23697.5
2025-08-22,42500.0,42500.0,42500.0,23067.8
2025-08-25,42500.0,42500.0,42500.0,23067.8
2025-08-26,42500.0,42500.0,42500.0,23067.8
2025-08-27,42500.0,42500.0,42500.0,23067.8
2025-08-28,42500.0,42500.0,42500.0,23067.8
2025-08-29,43000.0,43000.0,43000.0,21527.0
2025-09-01,43000.0,43000.0,43000.0,21527.0
2025-09-02,43000.0,43000.0,43000.0,21527.0
2025-09-03,43000.0,43000.0,43000.0,21527.0
2025-09-04,43000.0,43000.0,43000.0,21527.0
2025-09-05,43000.0,43000.0,43000.0,20830.2
