"コード","銘柄名","市場","現在値","前日比(%)","平均売買代金(千円)"
"8016","オンワードＨＬＤＧ","東P","705","-3.0(-0.42%)","621,766"
"8020","兼松","東P","2265.5","+14.5(+0.64%)","1,168,565"
"8022","美津濃","東P","4040","-5.0(-0.12%)","994,031"
"8031","三井物産","東P","5156.0","+63.0(+1.24%)","28,314,030"
"8035","東京エレクトロン","東P","53700.0","-300.0(-0.56%)","155,744,025"
"8050","セイコーグループ","東P","9440","+160.0(+1.72%)","5,537,942"
"8053","住友商事","東P","1840.0","+1.5(+0.08%)","17,343,898"
"8056","ＢＩＰＲＯＧＹ","東P","4621.0","-36.0(-0.77%)","1,943,983"
"8058","三菱商事","東P","5038.0","+111.0(+2.25%)","35,471,591"
"8060","キヤノンマーケティングジャパン","東P","3541.0","-19.0(-0.53%)","1,561,656"
"8078","阪和興業","東P","1935","+21.0(+1.10%)","887,954"
"8086","ニプロ","東P","1430.0","-30.0(-2.05%)","1,067,950"
"8088","岩谷産業","東P","2177.0","+47.5(+2.23%)","1,501,913"
"8111","ゴールドウイン","東P","2095.0","-12.5(-0.59%)","1,119,607"
"8113","ユニ・チャーム","東P","944.1","-22.4(-2.32%)","4,452,608"
"8117","中央自動車工業","東S","2134","-5.0(-0.23%)","690,866"
"8136","サンリオ","東P","1192.5","-59.5(-4.75%)","26,637,135"
"8154","加賀電子","東P","4795","+70.0(+1.48%)","686,357"
"8173","Ｊｏｓｈｉｎ","東P","4150","+30.0(+0.73%)","707,419"
"8174","日本瓦斯","東P","3076.0","-5.0(-0.16%)","632,618"
"8194","ライフコーポレーション","東P","2697","-41.0(-1.50%)","533,823"
"8227","しまむら","東P","3229.0","-67.0(-2.03%)","2,309,979"
"8233","高島屋","東P","2101.0","-16.0(-0.76%)","4,210,659"
"8237","松屋","東P","2279","+42.0(+1.88%)","1,573,812"
"8242","エイチ・ツー・オー　リテイリン","東P","2837.0","-18.0(-0.63%)","1,065,938"
"8252","丸井グループ","東P","2862.0","-36.0(-1.24%)","2,902,343"
"8253","クレディセゾン","東P","4555.0","-19.0(-0.42%)","3,210,223"
"8267","イオン","東P","1383.5","-38.5(-2.71%)","13,833,398"
"8273","イズミ","東P","992","-10.0(-1.00%)","898,496"
