ticker,price,target_price,stop_price,prob_win,prob_stop,beta,vol_ratio,turnover_oku,action,reason
6227.T,5800.0,6694.3,5352.9,0.3472,0.552,2.62,1.24,56.3,⏸️ WAIT,確信度不足
6407.T,5060.0,5565.0,4807.5,0.3471,0.5594,1.72,0.82,25.5,⏸️ WAIT,確信度不足
2702.T,8030.0,8307.1,7891.4,0.347,0.5517,-0.29,0.99,36.7,⏸️ WAIT,確信度不足
3769.T,8293.0,8838.9,8020.1,0.347,0.5595,-0.44,0.92,26.6,⏸️ WAIT,確信度不足
4114.T,2507.0,2620.6,2450.2,0.3469,0.5526,0.4,0.99,20.2,⏸️ WAIT,確信度不足
5032.T,3115.0,3313.1,3015.9,0.3468,0.5606,0.68,1.02,38.3,⏸️ WAIT,確信度不足
9065.T,7914.0,8196.7,7772.6,0.3468,0.5502,0.51,2.95,24.5,⏸️ WAIT,確信度不足
9616.T,3095.0,3241.6,3021.7,0.3468,0.5485,0.24,1.07,23.5,⏸️ WAIT,確信度不足
4716.T,8995.0,9418.3,8783.4,0.3467,0.5533,0.19,1.1,20.0,⏸️ WAIT,確信度不足
6005.T,3005.0,3147.0,2934.0,0.3467,0.5336,0.6,1.0,11.6,⏸️ WAIT,確信度不足
8359.T,2703.5,2844.9,2632.8,0.3467,0.552,0.74,1.18,37.5,⏸️ WAIT,確信度不足
6622.T,11900.0,12917.1,11391.4,0.3466,0.5545,1.77,0.85,22.7,⏸️ WAIT,確信度不足
4180.T,1420.0,1575.3,1342.4,0.3465,0.5625,1.06,0.83,22.9,⏸️ WAIT,確信度不足
6134.T,6705.0,7255.7,6429.6,0.3465,0.5547,1.74,1.87,56.9,⏸️ WAIT,確信度不足
6754.T,3139.0,3365.1,3025.9,0.3465,0.5601,1.42,1.07,32.3,⏸️ WAIT,確信度不足
6997.T,2674.0,3028.9,2496.6,0.3465,0.5498,2.48,0.84,27.7,⏸️ WAIT,確信度不足
1407.T,2220.0,2479.5,2090.3,0.3464,0.5523,1.64,1.28,10.3,⏸️ WAIT,確信度不足
4543.T,2246.0,2354.9,2191.6,0.3464,0.5575,0.47,1.25,120.4,⏸️ WAIT,確信度不足
3778.T,3660.0,4062.9,3458.6,0.3463,0.5551,0.38,1.01,29.8,⏸️ WAIT,確信度不足
6506.T,4301.0,4604.8,4149.1,0.3463,0.5524,1.48,1.43,159.4,⏸️ WAIT,確信度不足
5830.T,3816.0,4040.7,3703.6,0.3462,0.5488,0.71,1.2,41.9,⏸️ WAIT,確信度不足
6841.T,4568.0,4844.9,4429.6,0.3462,0.5492,1.21,1.17,50.4,⏸️ WAIT,確信度不足
6941.T,7630.0,8405.7,7242.1,0.3462,0.5609,1.78,1.5,19.7,⏸️ WAIT,確信度不足
2492.T,700.0,768.4,665.8,0.3461,0.5615,0.24,0.86,23.6,⏸️ WAIT,確信度不足
4612.T,1097.0,1151.6,1069.7,0.3461,0.5539,0.9,1.28,30.8,⏸️ WAIT,確信度不足
6479.T,3391.0,3605.0,3284.0,0.3461,0.5614,1.41,1.3,92.0,⏸️ WAIT,確信度不足
3861.T,867.2999877929688,892.2,854.8,0.346,0.5455,0.19,0.99,27.2,⏸️ WAIT,確信度不足
7729.T,16285.0,17717.9,15568.6,0.346,0.56,1.34,1.01,44.4,⏸️ WAIT,確信度不足
3407.T,1552.0,1623.6,1516.2,0.3459,0.5533,0.58,1.08,66.5,⏸️ WAIT,確信度不足
4063.T,5738.0,5928.4,5642.8,0.3458,0.552,0.51,1.09,401.9,⏸️ WAIT,確信度不足
6101.T,4825.0,5307.9,4583.6,0.3458,0.5616,1.69,1.4,17.9,⏸️ WAIT,確信度不足
6324.T,5790.0,6372.9,5498.6,0.3457,0.552,2.15,1.77,73.0,⏸️ WAIT,確信度不足
8136.T,1188.5,1276.6,1144.5,0.3456,0.55,0.21,0.83,215.1,⏸️ WAIT,確信度不足
9001.T,2939.0,3017.9,2899.6,0.3456,0.5504,-0.13,1.08,16.2,⏸️ WAIT,確信度不足
4043.T,4063.0,4318.4,3935.3,0.3455,0.5625,1.31,0.92,23.6,⏸️ WAIT,確信度不足
6103.T,4330.0,4632.9,4178.6,0.3455,0.5524,1.34,1.1,20.5,⏸️ WAIT,確信度不足
7309.T,17915.0,18695.0,17525.0,0.3455,0.5578,0.25,1.19,52.7,⏸️ WAIT,確信度不足
5076.T,2768.0,2897.9,2703.1,0.3454,0.5512,0.8,1.2,37.2,⏸️ WAIT,確信度不足
5901.T,4517.0,4664.3,4443.4,0.3454,0.5577,0.27,1.53,13.5,⏸️ WAIT,確信度不足
7966.T,5160.0,5512.9,4983.6,0.3453,0.5598,1.4,0.34,94.2,⏸️ WAIT,確信度不足
9021.T,2998.0,3082.2,2955.9,0.3453,0.5574,0.05,1.17,52.5,⏸️ WAIT,確信度不足
1721.T,5372.0,5578.0,5269.0,0.3452,0.5474,0.49,1.32,27.3,⏸️ WAIT,確信度不足
3288.T,7415.0,7684.1,7280.4,0.3452,0.5471,0.45,0.99,19.2,⏸️ WAIT,確信度不足
5332.T,5773.0,6090.1,5614.4,0.3452,0.5602,1.22,1.19,52.5,⏸️ WAIT,確信度不足
8022.T,3860.0,4101.4,3739.3,0.3452,0.5557,0.18,1.04,11.6,⏸️ WAIT,確信度不足
5741.T,2164.0,2318.3,2086.9,0.3451,0.5576,0.94,1.45,16.3,⏸️ WAIT,確信度不足
8524.T,1298.0,1371.1,1261.4,0.3451,0.5568,0.57,1.27,18.5,⏸️ WAIT,確信度不足
4523.T,4658.0,4824.9,4574.6,0.345,0.5624,-0.24,1.2,53.4,⏸️ WAIT,確信度不足
4980.T,2865.0,3088.4,2753.3,0.345,0.5457,1.66,1.45,35.5,⏸️ WAIT,確信度不足
6981.T,7352.0,8147.4,6954.3,0.345,0.558,2.03,1.11,1552.0,⏸️ WAIT,確信度不足
1959.T,7887.0,8238.7,7711.1,0.3449,0.5537,0.83,0.96,14.5,⏸️ WAIT,確信度不足
5631.T,6966.0,7562.3,6667.9,0.3449,0.557,0.69,1.42,78.4,⏸️ WAIT,確信度不足
6996.T,2528.0,2796.1,2393.9,0.3447,0.5598,1.92,0.76,22.1,⏸️ WAIT,確信度不足
7014.T,4580.0,5036.4,4351.8,0.3447,0.5543,1.61,1.21,96.3,⏸️ WAIT,確信度不足
6728.T,6910.0,7387.9,6671.1,0.3446,0.566,0.57,1.15,28.4,⏸️ WAIT,確信度不足
9024.T,3507.0,3669.7,3425.6,0.3446,0.5599,-0.04,1.06,36.6,⏸️ WAIT,確信度不足
